"idealista_id";"bedrooms";"bathrooms";"floor";"elevator";"terrace";"balcony";"garaje";"built_in_wardrobe";"air_conditioning";"swimming_pool";"green_zone";"price";"furnished";"equiped_kitchen";"street";"neighborhood";"district";"m2_builded";"m2_habitable"
"99798467";"4";"3";"Planta 3ª exterior";"Y";"N";"Y";"Y";"Y";"Y";"N";"N";"1700";"Y";"Y";NULL;"Barrio Ensanche-Diputación";"Distrito Centro";"225";" 215"
"99809138";"4";"2";"Planta 6ª interior";"Y";"Y";"N";"Y";"Y";"Y";"Y";"Y";"2998";"Y";"Y";"Av Costa Blanca, 150";"Barrio Playa de San Juan";"Distrito Playa de San Juan-El Cabo";"120";" 110"
"99818136";"0";"1";"Bajo exterior";"N";"N";"N";"N";"N";"N";"N";"N";"750";"Y";"Y";"Calle del Maestro Alonso, 108";"Barrio Carolinas Altas";"Distrito Campoamor-Carolinas-Altozano";"30";" 24"
"99832595";"1";"1";"Planta 4ª exterior";"Y";"Y";"N";"Y";"Y";"Y";"Y";"Y";"1200";"Y";"Y";"Camino Muchavista, 24";"Barrio PAU 5";"Distrito Playa de San Juan-El Cabo";"68";NULL
"99859298";"2";"2";"Planta 6ª exterior";"Y";"Y";"Y";"Y";"Y";"Y";"Y";"Y";"1300";"Y";"Y";"Avenida Santander";"Barrio Playa de San Juan";"Distrito Playa de San Juan-El Cabo";"70";" 62"
"99871430";"1";"1";"Planta 1ª exterior";"Y";"N";"Y";"N";"N";"Y";"N";"N";"1200";"Y";"Y";NULL;"Barrio Casco Histórico-Santa Cruz";"Distrito Centro";"73";NULL
"99879613";"2";"1";"Planta 1ª exterior";"N";"Y";"Y";"N";"Y";"Y";"N";"N";"900";"Y";"Y";"Calle de Muñoz, 2";"Barrio Casco Histórico-Santa Cruz";"Distrito Centro";"60";" 59"
"99892003";"6";"5";"None";"N";"Y";"Y";"Y";"Y";"Y";"Y";"N";"6000";"Y";"Y";"Calle Galia";"Barrio Alicante Golf";"Distrito Playa de San Juan-El Cabo";"500";NULL
"99905172";"1";"1";"Planta 4ª exterior";"Y";"N";"N";"N";"Y";"Y";"N";"N";"890";"N";"Y";NULL;"Barrio Centro Tradicional";"Distrito Centro";"50";" 45"
"99906834";"3";"1";"Entreplanta exterior";"N";"N";"N";"N";"N";"N";"N";"N";"850";"Y";"Y";"Calle Carlota Pasaron, 4";"Barrio Santo Domingo";"Distrito San Blas-Pau";"75";NULL
